Data supplied by AEA on 28/6/2014
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Oxford St Ebbes,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"PM<sub>10</sub> particulate matter (Hourly measured)",status,unit,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit,"Non-volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Non-volatile PM<sub>2.5</sub> (Hourly measured)",status,unit,"PM<sub>2.5</sub> particulate matter (Hourly measured)",status,unit,"Volatile PM<sub>10</sub> (Hourly measured)",status,unit,"Volatile PM<sub>2.5</sub> (Hourly measured)",status,unit
 
01-01-2014,01:00,,,,1,R,ugm-3,1,R,ugm-3,3,R,ugm-3,,,,3,R,ugm-3 (TEOM FDMS),7,R,ugm-3 (TEOM FDMS),,,,4,R,ugm-3 (TEOM FDMS)
01-01-2014,02:00,,,,0,R,ugm-3,6,R,ugm-3,6,R,ugm-3,,,,3,R,ugm-3 (TEOM FDMS),7,R,ugm-3 (TEOM FDMS),,,,4,R,ugm-3 (TEOM FDMS)
01-01-2014,03:00,,,,1,R,ugm-3,4,R,ugm-3,6,R,ugm-3,,,,4,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),,,,4,R,ugm-3 (TEOM FDMS)
01-01-2014,04:00,,,,1,R,ugm-3,4,R,ugm-3,5,R,ugm-3,,,,4,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),,,,4,R,ugm-3 (TEOM FDMS)
01-01-2014,05:00,,,,0,R,ugm-3,4,R,ugm-3,4,R,ugm-3,,,,4,R,ugm-3 (TEOM FDMS),8,R,ugm-3 (TEOM FDMS),,,,4,R,ugm-3 (TEOM FDMS)
01-01-2014,06:00,,,,0,R,ugm-3,3,R,ugm-3,4,R,ugm-3,,,,2,R,ugm-3 (TEOM FDMS),5,R,ugm-3 (TEOM FDMS),,,,3,R,ugm-3 (TEOM FDMS)
01-01-2014,07:00,,,,1,R,ugm-3,1,R,ugm-3,2,R,ugm-3,,,,2,R,ugm-3 (TEOM FDMS),6,R,ugm-3 (TEOM FDMS),,,,4,R,ugm-3 (TEOM FDMS)
01-01-2014,08:00,,,,1,R,ugm-3,2,R,ugm-3,3,R,ugm-3,,,,1,R,ugm-3 (TEOM FDMS),7,R,ugm-3 (TEOM FDMS),,,,6,R,ugm-3 (TEOM FDMS)
01-01-2014,09:00,,,,1,R,ugm-3,2,R,ugm-3,4,R,ugm-3,,,,5,R,ugm-3 (TEOM FDMS),10,R,ugm-3 (TEOM FDMS),,,,5,R,ugm-3 (TEOM FDMS)
