Data supplied by AEA on 28/6/2014
All Data GMT hour ending 
Status: R =Ratified P=Provisional,P*=As supplied
,,Oxford Centre Roadside,,,,,,,,,,,,,,,,,,,,,,,
Date,time,"Nitric oxide",status,unit,"Nitrogen dioxide",status,unit,"Nitrogen oxides as nitrogen dioxide",status,unit
 
01-01-2014,01:00,16,R,ugm-3,20,R,ugm-3,45,R,ugm-3
01-01-2014,02:00,8,R,ugm-3,20,R,ugm-3,32,R,ugm-3
01-01-2014,03:00,19,R,ugm-3,27,R,ugm-3,55,R,ugm-3
01-01-2014,04:00,13,R,ugm-3,24,R,ugm-3,44,R,ugm-3
01-01-2014,05:00,8,R,ugm-3,20,R,ugm-3,33,R,ugm-3
01-01-2014,06:00,15,R,ugm-3,16,R,ugm-3,39,R,ugm-3
01-01-2014,07:00,7,R,ugm-3,10,R,ugm-3,21,R,ugm-3
01-01-2014,08:00,3,R,ugm-3,6,R,ugm-3,11,R,ugm-3
01-01-2014,09:00,3,R,ugm-3,6,R,ugm-3,11,R,ugm-3
01-01-2014,10:00,16,R,ugm-3,13,R,ugm-3,38,R,ugm-3
01-01-2014,11:00,9,R,ugm-3,11,R,ugm-3,25,R,ugm-3
01-01-2014,12:00,19,R,ugm-3,13,R,ugm-3,43,R,ugm-3
01-01-2014,13:00,13,R,ugm-3,11,R,ugm-3,30,R,ugm-3
01-01-2014,14:00,14,R,ugm-3,15,R,ugm-3,36,R,ugm-3
01-01-2014,15:00,10,R,ugm-3,14,R,ugm-3,29,R,ugm-3
01-01-2014,16:00,8,R,ugm-3,11,R,ugm-3,24,R,ugm-3
01-01-2014,17:00,12,R,ugm-3,16,R,ugm-3,34,R,ugm-3
01-01-2014,18:00,11,R,ugm-3,19,R,ugm-3,36,R,ugm-3
01-01-2014,19:00,7,R,ugm-3,13,R,ugm-3,24,R,ugm-3
01-01-2014,20:00,7,R,ugm-3,14,R,ugm-3,25,R,ugm-3
01-01-2014,21:00,6,R,ugm-3,11,R,ugm-3,20,R,ugm-3
01-01-2014,22:00,5,R,ugm-3,10,R,ugm-3,18,R,ugm-3
01-01-2014,23:00,5,R,ugm-3,12,R,ugm-3,19,R,ugm-3
01-01-2014,24:00,3,R,ugm-3,7,R,ugm-3,11,R,ugm-3
02-01-2014,01:00,2,R,ugm-3,5,R,ugm-3,8,R,ugm-3
02-01-2014,02:00,1,R,ugm-3,0,R,ugm-3,1,R,ugm-3
02-01-2014,03:00,1,R,ugm-3,-2,R,ugm-3,-1,R,ugm-3
02-01-2014,04:00,0,R,ugm-3,-1,R,ugm-3,0,R,ugm-3
02-01-2014,05:00,2,R,ugm-3,2,R,ugm-3,6,R,ugm-3
02-01-2014,06:00,5,R,ugm-3,9,R,ugm-3,16,R,ugm-3
02-01-2014,07:00,26,R,ugm-3,32,R,ugm-3,72,R,ugm-3
02-01-2014,08:00,32,R,ugm-3,36,R,ugm-3,86,R,ugm-3
02-01-2014,09:00,52,R,ugm-3,42,R,ugm-3,121,R,ugm-3
02-01-2014,10:00,47,R,ugm-3,44,R,ugm-3,117,R,ugm-3
02-01-2014,11:00,86,R,ugm-3,56,R,ugm-3,188,R,ugm-3
02-01-2014,12:00,44,R,ugm-3,37,R,ugm-3,105,R,ugm-3
02-01-2014,13:00,35,R,ugm-3,37,R,ugm-3,91,R,ugm-3
02-01-2014,14:00,49,R,ugm-3,57,R,ugm-3,133,R,ugm-3
02-01-2014,15:00,50,R,ugm-3,56,R,ugm-3,133,R,ugm-3
02-01-2014,16:00,59,R,ugm-3,70,R,ugm-3,160,R,ugm-3
02-01-2014,17:00,54,R,ugm-3,69,R,ugm-3,152,R,ugm-3
02-01-2014,18:00,70,R,ugm-3,76,R,ugm-3,184,R,ugm-3
02-01-2014,19:00,54,R,ugm-3,68,R,ugm-3,151,R,ugm-3
02-01-2014,20:00,43,R,ugm-3,61,R,ugm-3,127,R,ugm-3
02-01-2014,21:00,26,R,ugm-3,43,R,ugm-3,83,R,ugm-3
02-01-2014,22:00,22,R,ugm-3,33,R,ugm-3,67,R,ugm-3
02-01-2014,23:00,12,R,ugm-3,20,R,ugm-3,38,R,ugm-3
02-01-2014,24:00,9,R,ugm-3,15,R,ugm-3,29,R,ugm-3
03-01-2014,01:00,4,R,ugm-3,7,R,ugm-3,13,R,ugm-3
03-01-2014,02:00,3,R,ugm-3,3,R,ugm-3,7,R,ugm-3
03-01-2014,03:00,2,R,ugm-3,3,R,ugm-3,6,R,ugm-3
03-01-2014,04:00,1,R,ugm-3,1,R,ugm-3,2,R,ugm-3
03-01-2014,05:00,3,R,ugm-3,4,R,ugm-3,9,R,ugm-3
03-01-2014,06:00,4,R,ugm-3,8,R,ugm-3,14,R,ugm-3
03-01-2014,07:00,15,R,ugm-3,19,R,ugm-3,41,R,ugm-3
03-01-2014,08:00,22,R,ugm-3,25,R,ugm-3,59,R,ugm-3
03-01-2014,09:00,28,R,ugm-3,30,R,ugm-3,74,R,ugm-3
03-01-2014,10:00,36,R,ugm-3,37,R,ugm-3,92,R,ugm-3
03-01-2014,11:00,20,R,ugm-3,22,R,ugm-3,52,R,ugm-3
03-01-2014,12:00,20,R,ugm-3,23,R,ugm-3,54,R,ugm-3
03-01-2014,13:00,20,R,ugm-3,23,R,ugm-3,53,R,ugm-3
03-01-2014,14:00,28,R,ugm-3,33,R,ugm-3,76,R,ugm-3
03-01-2014,15:00,27,R,ugm-3,27,R,ugm-3,69,R,ugm-3
03-01-2014,16:00,19,R,ugm-3,21,R,ugm-3,51,R,ugm-3
03-01-2014,17:00,17,R,ugm-3,22,R,ugm-3,48,R,ugm-3
03-01-2014,18:00,26,R,ugm-3,29,R,ugm-3,68,R,ugm-3
03-01-2014,19:00,16,R,ugm-3,19,R,ugm-3,43,R,ugm-3
03-01-2014,20:00,11,R,ugm-3,14,R,ugm-3,30,R,ugm-3
03-01-2014,21:00,7,R,ugm-3,8,R,ugm-3,18,R,ugm-3
03-01-2014,22:00,6,R,ugm-3,9,R,ugm-3,19,R,ugm-3
03-01-2014,23:00,10,R,ugm-3,13,R,ugm-3,27,R,ugm-3
03-01-2014,24:00,9,R,ugm-3,13,R,ugm-3,26,R,ugm-3
04-01-2014,01:00,15,R,ugm-3,18,R,ugm-3,41,R,ugm-3
04-01-2014,02:00,11,R,ugm-3,14,R,ugm-3,32,R,ugm-3
04-01-2014,03:00,12,R,ugm-3,19,R,ugm-3,38,R,ugm-3
04-01-2014,04:00,6,R,ugm-3,11,R,ugm-3,20,R,ugm-3
04-01-2014,05:00,10,R,ugm-3,10,R,ugm-3,25,R,ugm-3
04-01-2014,06:00,11,R,ugm-3,7,R,ugm-3,24,R,ugm-3
04-01-2014,07:00,24,R,ugm-3,26,R,ugm-3,63,R,ugm-3
04-01-2014,08:00,30,R,ugm-3,38,R,ugm-3,84,R,ugm-3
04-01-2014,09:00,38,R,ugm-3,41,R,ugm-3,99,R,ugm-3
04-01-2014,10:00,85,R,ugm-3,62,R,ugm-3,192,R,ugm-3
04-01-2014,11:00,84,R,ugm-3,67,R,ugm-3,196,R,ugm-3
04-01-2014,12:00,93,R,ugm-3,80,R,ugm-3,222,R,ugm-3
04-01-2014,13:00,78,R,ugm-3,75,R,ugm-3,194,R,ugm-3
04-01-2014,14:00,114,R,ugm-3,80,R,ugm-3,256,R,ugm-3
04-01-2014,15:00,98,R,ugm-3,77,R,ugm-3,227,R,ugm-3
04-01-2014,16:00,112,R,ugm-3,81,R,ugm-3,253,R,ugm-3
04-01-2014,17:00,108,R,ugm-3,72,R,ugm-3,238,R,ugm-3
04-01-2014,18:00,176,R,ugm-3,95,R,ugm-3,365,R,ugm-3
04-01-2014,19:00,61,R,ugm-3,52,R,ugm-3,146,R,ugm-3
04-01-2014,20:00,31,R,ugm-3,37,R,ugm-3,84,R,ugm-3
04-01-2014,21:00,40,R,ugm-3,50,R,ugm-3,111,R,ugm-3
04-01-2014,22:00,,,,,,,,,
04-01-2014,23:00,14,R,ugm-3,13,R,ugm-3,34,R,ugm-3
04-01-2014,24:00,35,R,ugm-3,41,R,ugm-3,95,R,ugm-3
05-01-2014,01:00,17,R,ugm-3,28,R,ugm-3,54,R,ugm-3
05-01-2014,02:00,18,R,ugm-3,29,R,ugm-3,56,R,ugm-3
05-01-2014,03:00,40,R,ugm-3,44,R,ugm-3,106,R,ugm-3
05-01-2014,04:00,29,R,ugm-3,32,R,ugm-3,76,R,ugm-3
05-01-2014,05:00,11,R,ugm-3,15,R,ugm-3,32,R,ugm-3
05-01-2014,06:00,12,R,ugm-3,17,R,ugm-3,36,R,ugm-3
05-01-2014,07:00,30,R,ugm-3,35,R,ugm-3,81,R,ugm-3
05-01-2014,08:00,56,R,ugm-3,40,R,ugm-3,126,R,ugm-3
05-01-2014,09:00,67,R,ugm-3,52,R,ugm-3,155,R,ugm-3
05-01-2014,10:00,228,R,ugm-3,109,R,ugm-3,458,R,ugm-3
05-01-2014,11:00,101,R,ugm-3,67,R,ugm-3,221,R,ugm-3
05-01-2014,12:00,33,R,ugm-3,42,R,ugm-3,93,R,ugm-3
05-01-2014,13:00,26,R,ugm-3,42,R,ugm-3,81,R,ugm-3
05-01-2014,14:00,78,R,ugm-3,71,R,ugm-3,190,R,ugm-3
05-01-2014,15:00,48,R,ugm-3,46,R,ugm-3,120,R,ugm-3
05-01-2014,16:00,51,R,ugm-3,40,R,ugm-3,119,R,ugm-3
05-01-2014,17:00,74,R,ugm-3,48,R,ugm-3,162,R,ugm-3
05-01-2014,18:00,23,R,ugm-3,23,R,ugm-3,59,R,ugm-3
05-01-2014,19:00,14,R,ugm-3,18,R,ugm-3,40,R,ugm-3
05-01-2014,20:00,15,R,ugm-3,17,R,ugm-3,40,R,ugm-3
05-01-2014,21:00,13,R,ugm-3,17,R,ugm-3,37,R,ugm-3
05-01-2014,22:00,8,R,ugm-3,12,R,ugm-3,25,R,ugm-3
05-01-2014,23:00,6,R,ugm-3,8,R,ugm-3,17,R,ugm-3
05-01-2014,24:00,5,R,ugm-3,5,R,ugm-3,13,R,ugm-3
06-01-2014,01:00,2,R,ugm-3,-1,R,ugm-3,2,R,ugm-3
06-01-2014,02:00,1,R,ugm-3,-3,R,ugm-3,-1,R,ugm-3
06-01-2014,03:00,1,R,ugm-3,-3,R,ugm-3,-2,R,ugm-3
06-01-2014,04:00,0,R,ugm-3,-2,R,ugm-3,-1,R,ugm-3
06-01-2014,05:00,1,R,ugm-3,-4,R,ugm-3,-3,R,ugm-3
06-01-2014,06:00,1,R,ugm-3,-1,R,ugm-3,1,R,ugm-3
06-01-2014,07:00,20,R,ugm-3,28,R,ugm-3,59,R,ugm-3
06-01-2014,08:00,20,R,ugm-3,33,R,ugm-3,63,R,ugm-3
06-01-2014,09:00,25,R,ugm-3,32,R,ugm-3,70,R,ugm-3
06-01-2014,10:00,27,R,ugm-3,33,R,ugm-3,74,R,ugm-3
06-01-2014,11:00,29,R,ugm-3,36,R,ugm-3,80,R,ugm-3
06-01-2014,12:00,29,R,ugm-3,31,R,ugm-3,76,R,ugm-3
06-01-2014,13:00,21,R,ugm-3,26,R,ugm-3,59,R,ugm-3
06-01-2014,14:00,30,R,ugm-3,31,R,ugm-3,76,R,ugm-3
06-01-2014,15:00,23,R,ugm-3,21,R,ugm-3,57,R,ugm-3
06-01-2014,16:00,18,R,ugm-3,22,R,ugm-3,50,R,ugm-3
06-01-2014,17:00,35,R,ugm-3,37,R,ugm-3,91,R,ugm-3
06-01-2014,18:00,27,R,ugm-3,29,R,ugm-3,71,R,ugm-3
06-01-2014,19:00,20,R,ugm-3,21,R,ugm-3,52,R,ugm-3
06-01-2014,20:00,17,R,ugm-3,19,R,ugm-3,44,R,ugm-3
06-01-2014,21:00,14,R,ugm-3,21,R,ugm-3,42,R,ugm-3
06-01-2014,22:00,8,R,ugm-3,10,R,ugm-3,22,R,ugm-3
06-01-2014,23:00,9,R,ugm-3,10,R,ugm-3,24,R,ugm-3
06-01-2014,24:00,11,R,ugm-3,13,R,ugm-3,30,R,ugm-3
07-01-2014,01:00,2,R,ugm-3,-1,R,ugm-3,2,R,ugm-3
07-01-2014,02:00,2,R,ugm-3,0,R,ugm-3,4,R,ugm-3
07-01-2014,03:00,1,R,ugm-3,-1,R,ugm-3,1,R,ugm-3
07-01-2014,04:00,1,R,ugm-3,-2,R,ugm-3,-0,R,ugm-3
07-01-2014,05:00,1,R,ugm-3,-2,R,ugm-3,1,R,ugm-3
07-01-2014,06:00,5,R,ugm-3,5,R,ugm-3,13,R,ugm-3
07-01-2014,07:00,15,R,ugm-3,16,R,ugm-3,39,R,ugm-3
07-01-2014,08:00,19,R,ugm-3,20,R,ugm-3,49,R,ugm-3
07-01-2014,09:00,13,R,ugm-3,14,R,ugm-3,33,R,ugm-3
07-01-2014,10:00,20,R,ugm-3,20,R,ugm-3,50,R,ugm-3
07-01-2014,11:00,30,R,ugm-3,33,R,ugm-3,79,R,ugm-3
07-01-2014,12:00,38,R,ugm-3,34,R,ugm-3,91,R,ugm-3
07-01-2014,13:00,29,R,ugm-3,27,R,ugm-3,72,R,ugm-3
07-01-2014,14:00,22,R,ugm-3,22,R,ugm-3,56,R,ugm-3
07-01-2014,15:00,32,R,ugm-3,27,R,ugm-3,76,R,ugm-3
07-01-2014,16:00,32,R,ugm-3,29,R,ugm-3,77,R,ugm-3
07-01-2014,17:00,39,R,ugm-3,33,R,ugm-3,93,R,ugm-3
07-01-2014,18:00,43,R,ugm-3,32,R,ugm-3,98,R,ugm-3
07-01-2014,19:00,74,R,ugm-3,45,R,ugm-3,159,R,ugm-3
07-01-2014,20:00,56,R,ugm-3,39,R,ugm-3,124,R,ugm-3
07-01-2014,21:00,18,R,ugm-3,22,R,ugm-3,50,R,ugm-3
07-01-2014,22:00,19,R,ugm-3,24,R,ugm-3,53,R,ugm-3
07-01-2014,23:00,21,R,ugm-3,23,R,ugm-3,55,R,ugm-3
07-01-2014,24:00,13,R,ugm-3,18,R,ugm-3,38,R,ugm-3
08-01-2014,01:00,5,R,ugm-3,4,R,ugm-3,12,R,ugm-3
08-01-2014,02:00,3,R,ugm-3,3,R,ugm-3,8,R,ugm-3
08-01-2014,03:00,2,R,ugm-3,2,R,ugm-3,5,R,ugm-3
08-01-2014,04:00,1,R,ugm-3,-2,R,ugm-3,-2,R,ugm-3
08-01-2014,05:00,3,R,ugm-3,1,R,ugm-3,6,R,ugm-3
08-01-2014,06:00,11,R,ugm-3,9,R,ugm-3,27,R,ugm-3
08-01-2014,07:00,32,R,ugm-3,27,R,ugm-3,76,R,ugm-3
08-01-2014,08:00,37,R,ugm-3,32,R,ugm-3,89,R,ugm-3
08-01-2014,09:00,67,R,ugm-3,44,R,ugm-3,147,R,ugm-3
08-01-2014,10:00,69,R,ugm-3,45,R,ugm-3,151,R,ugm-3
08-01-2014,11:00,103,R,ugm-3,64,R,ugm-3,222,R,ugm-3
08-01-2014,12:00,122,R,ugm-3,65,R,ugm-3,251,R,ugm-3
08-01-2014,13:00,119,R,ugm-3,69,R,ugm-3,252,R,ugm-3
